Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
53, 6, 6, -0.5195, 5.5156, 0, 0, 20, 13, 
54, 6, 1, 0.5391, 0.793, 0, 0, 290, 25, 
54, 6, 2, -0.2246, 2.3887, 0, 0, 111, 20, 
54, 6, 3, 1.9629, 2.4512, 0, 0, 246, 24, 
54, 6, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
54, 6, 5, -0.9746, 2.1914, 0, 0, 84, 19, 
54, 6, 6, -0.5195, 5.5156, 0, 0, 20, 13, 
55, 6, 1, 0.5391, 0.793, 0, 0, 290, 25, 
55, 6, 2, -0.1504, 2.3945, 0, 0, 101, 20, 
55, 6, 3, 1.9629, 2.4512, 0, 0, 242, 24, 
55, 6, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
55, 6, 5, -0.9746, 2.1914, 0, 0, 74, 19, 
55, 6, 6, 4.3281, 3.459, 0, 0, 21, 13, 
56, 5, 1, 0.5391, 0.793, 0, 0, 291, 25, 
56, 5, 2, -0.1504, 2.3945, 0, 0, 120, 21, 
56, 5, 3, 1.9629, 2.4512, 0, 0, 250, 24, 
56, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
56, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
57, 5, 1, 0.5391, 0.793, 0, 0, 295, 25, 
57, 5, 2, -0.2246, 2.3887, 0, 0, 144, 22, 
57, 5, 3, 1.9629, 2.4512, 0, 0, 266, 24, 
57, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
57, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
58, 5, 1, -0.0742, 2.3984, 0, 0, 97, 20, 
58, 5, 2, 2.0605, 2.3691, 0, 0, 218, 23, 
58, 5, 3, -4.6738, 2.9727, 0, 0, 21, 13, 
58, 5, 4, -0.9746, 2.1914, 0, 0, 73, 19, 
58, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
59, 5, 1, -0.1504, 2.3945, 0, 0, 103, 20, 
59, 5, 2, 2.0605, 2.3691, 0, 0, 200, 23, 
59, 5, 3, -4.6738, 2.9727, 0, 0, 21, 13, 
59, 5, 4, -0.9746, 2.1914, 0, 0, 76, 19, 
59, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
60, 4, 1, -0.1504, 2.3945, 0, 0, 140, 21, 
60, 4, 2, 2.0605, 2.3691, 0, 0, 235, 24, 
60, 4, 3, -0.5195, 5.5156, 0, 0, 21, 13, 
60, 4, 4, -4.6738, 2.9727, 0, 0, 20, 13, 
61, 5, 1, -0.1504, 2.3945, 0, 0, 113, 21, 
61, 5, 2, 2.0605, 2.3691, 0, 0, 243, 24, 
61, 5, 3, 4.3281, 3.459, 0, 0, 21, 13, 
61, 5, 4, -0.9746, 2.1914, 0, 0, 83, 19, 
61, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
62, 5, 1, 0.5391, 0.793, 0, 0, 295, 25, 
62, 5, 2, -0.2246, 2.3887, 0, 0, 128, 21, 
62, 5, 3, 1.9629, 2.4512, 0, 0, 247, 24, 
62, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
62, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
63, 5, 1, 0.5391, 0.793, 0, 0, 300, 25, 
63, 5, 2, -0.2246, 2.3887, 0, 0, 143, 22, 
63, 5, 3, 1.9629, 2.4512, 0, 0, 258, 24, 
63, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
63, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
64, 5, 1, 0.5391, 0.793, 0, 0, 299, 25, 
64, 5, 2, -0.2246, 2.3887, 0, 0, 137, 21, 
64, 5, 3, 1.9629, 2.4512, 0, 0, 257, 24, 
64, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
64, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
65, 6, 1, 0.5391, 0.793, 0, 0, 285, 25, 
65, 6, 2, -0.2246, 2.3887, 0, 0, 116, 21, 
65, 6, 3, 1.9629, 2.4512, 0, 0, 244, 24, 
65, 6, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
65, 6, 5, -0.9746, 2.1914, 0, 0, 82, 19, 
65, 6, 6, 4.3281, 3.459, 0, 0, 20, 13, 
66, 6, 1, 0.5391, 0.793, 0, 0, 281, 25, 
66, 6, 2, -0.2246, 2.3887, 0, 0, 114, 21, 
66, 6, 3, 2.0605, 2.3691, 0, 0, 242, 24, 
66, 6, 4, 4.3281, 3.459, 0, 0, 21, 13, 
66, 6, 5, -0.9746, 2.1914, 0, 0, 83, 19, 
66, 6, 6, -4.6738, 2.9727, 0, 0, 21, 13, 
67, 6, 1, 0.5391, 0.793, 0, 0, 297, 25, 
67, 6, 2, -0.2246, 2.3887, 0, 0, 122, 21, 
67, 6, 3, 1.9629, 2.4512, 0, 0, 251, 24, 
67, 6, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
67, 6, 5, -1.0488, 2.1582, 0, 0, 86, 19, 
67, 6, 6, -4.6738, 2.9727, 0, 0, 21, 13, 
68, 5, 1, 0.5098, 0.8125, 0, 0, 336, 25, 
68, 5, 2, -0.1523, 2.4375, 0, 0, 141, 22, 
68, 5, 3, 1.9629, 2.4512, 0, 0, 268, 24, 
68, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
68, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
69, 5, 1, 0.5098, 0.8125, 0, 0, 351, 25, 
69, 5, 2, -0.1523, 2.4375, 0, 0, 163, 22, 
69, 5, 3, 1.9629, 2.4512, 0, 0, 284, 25, 
69, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
69, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
70, 5, 1, 0.5098, 0.8125, 0, 0, 343, 25, 
70, 5, 2, -0.1523, 2.4375, 0, 0, 150, 22, 
70, 5, 3, 1.9629, 2.4512, 0, 0, 278, 24, 
70, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
70, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
71, 5, 1, 0.5098, 0.8125, 0, 0, 332, 25, 
71, 5, 2, -0.2246, 2.3887, 0, 0, 137, 21, 
71, 5, 3, 1.9629, 2.4512, 0, 0, 272, 24, 
71, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
71, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
72, 5, 1, 0.5098, 0.8125, 0, 0, 339, 25, 
72, 5, 2, -0.1523, 2.4375, 0, 0, 129, 21, 
72, 5, 3, 1.9629, 2.4512, 0, 0, 272, 24, 
72, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
72, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
73, 5, 1, 0.5098, 0.8125, 0, 0, 382, 26, 
73, 5, 2, -0.1523, 2.4375, 0, 0, 183, 23, 
73, 5, 3, 2.0605, 2.3691, 0, 0, 289, 25, 
73, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
73, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
74, 5, 1, 0.5098, 0.8125, 0, 0, 373, 26, 
74, 5, 2, -0.0762, 2.4414, 0, 0, 187, 23, 
74, 5, 3, 2.0605, 2.3691, 0, 0, 288, 25, 
74, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
74, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
75, 5, 1, 0.5098, 0.8125, 0, 0, 357, 26, 
